,description_2
889,"Independent  and neutral NGO delivering high quality, free-of-charge medical and surgical care to victims of war, landmines and poverty."
890,Il   Giornale  di  Brescia  su  Twitter
891,"News , resources, inspiration and fun for the connected generation.  Tweets  by  mashable staff."
892,In  principio fu xyz.
893,Live  video sessions to discover cool finds for the family.  Download  the app and check it out https://t.co/MVZG Iiet Hv   boxtiq  home
894,"Creator  of   Boxtiq App , and   Go Pixelme ;  Ecommerce /retail tech entrepreneur;  Full -stack  Marketer ;  Former    Bing  PM; I sometimes tweet in  Chinese"
895,This  account is run by  Organizing  for  Action  staff.  Tweets  from the  President  are signed -bo.
896,Constantly  evolving without ever really change.
897,http://t.co/NTX8a Ux Fon
898,"Co - Founder  of http://t.co/p Xm VAS Mb Pq , advisory board of http://t.co/j0O Qn E3vwF, a web developer, AI lover.  glassexplorer"
899,"Co -founder & CTO  palmabit. 
 Engineer , full stack developer and hacker.  Love  snow/kite boarding.
 https://t.co/noN Ine Y8os "
900,Discretamente   Focaccia .  Cit .  fabioalisei
901,EVP  Global   Digital   Marketing  at  Sage .  Passionate  about digital & social marketing.  Views  obviously my own!
902,"Your  no.1 source for  Wentworth   Miller !  His  official twitter, facebook and instagram:   Wentworth Miller  https://t.co/JY1T1 Uj 0sL https://t.co/9t5c Cq 3oQV"
903,Present : UX   Cambridge _ Uni  /  wikirate |  Edu :  Master 's in UX  Engg    Dundee Univ  |  Past :  gecko_life   Wipro   Tech
904,Sharing  things I'm learning through my foundation work and other interests...
905,From  14  April  GIRO DEL MONDO new album live with 4 unreleased
906,"A young multi-talented intl super star, singer, songwriter & prod.: is the only  Italian  artist of the new millennium with such a strong international profile."
907,"New  album, A  Head   Full   Of   Dreams , out now worldwide.  Spanish  language account:  coldplay_es"
908,Excited  to share this with you!!  ANT Idia Ry   https://t.co/hlEU70f83R
